# k  E(k)
  1.165685E+00   4.800255E-01
  2.289014E+00   1.566882E-01
  3.279211E+00   6.577776E-02
  4.220481E+00   4.291830E-02
  5.313060E+00   3.953595E-02
  6.319715E+00   2.239591E-02
  7.323815E+00   2.038049E-02
  8.372961E+00   1.635091E-02
  9.374331E+00   1.195100E-02
  1.036583E+01   1.127475E-02
  1.133127E+01   8.315358E-03
  1.231775E+01   8.336825E-03
  1.338002E+01   7.836366E-03
  1.440681E+01   6.199206E-03
  1.538017E+01   5.636023E-03
  1.635360E+01   4.758009E-03
  1.735645E+01   4.955695E-03
  1.840444E+01   4.347418E-03
  1.941338E+01   3.752701E-03
  2.038168E+01   3.409921E-03
  2.142060E+01   3.486444E-03
  2.241571E+01   2.939039E-03
  2.338104E+01   2.697010E-03
  2.436040E+01   2.618516E-03
  2.538618E+01   2.588052E-03
  2.644280E+01   2.446268E-03
  2.743319E+01   2.059898E-03
  2.838762E+01   1.919195E-03
  2.938585E+01   2.020686E-03
  3.038908E+01   1.789904E-03
  3.141805E+01   1.831317E-03
  3.242466E+01   1.619513E-03
  3.342107E+01   1.539983E-03
  3.443713E+01   1.561490E-03
  3.542540E+01   1.317003E-03
  3.640865E+01   1.378517E-03
  3.739494E+01   1.262070E-03
  3.842231E+01   1.309795E-03
  3.943963E+01   1.184183E-03
  4.040461E+01   1.058395E-03
  4.140158E+01   1.145456E-03
  4.241545E+01   1.039964E-03
  4.344194E+01   1.062611E-03
  4.445512E+01   9.564483E-04
  4.543063E+01   8.955901E-04
  4.641442E+01   9.155301E-04
  4.740985E+01   8.553078E-04
  4.841659E+01   8.673263E-04
  4.941507E+01   7.992389E-04
  5.044505E+01   8.323546E-04
  5.146299E+01   7.622475E-04
  5.243955E+01   6.996895E-04
  5.342770E+01   7.330088E-04
  5.441129E+01   6.580657E-04
  5.543572E+01   7.252004E-04
  5.644685E+01   6.313949E-04
  5.743923E+01   6.335711E-04
  5.842750E+01   6.097030E-04
  5.941988E+01   5.902827E-04
  6.043083E+01   6.018222E-04
  6.144455E+01   5.684490E-04
  6.245348E+01   5.522411E-04
  6.344790E+01   5.379785E-04
  6.442937E+01   5.009363E-04
  6.543698E+01   5.360181E-04
  6.643623E+01   4.770660E-04
  6.742580E+01   4.873537E-04
  6.844382E+01   4.982711E-04
  6.944740E+01   4.417877E-04
  7.042945E+01   4.574694E-04
  7.141088E+01   4.203522E-04
  7.242528E+01   4.557898E-04
  7.344481E+01   4.245722E-04
  7.444984E+01   4.093960E-04
  7.544339E+01   4.052065E-04
  7.644711E+01   3.934729E-04
  7.745688E+01   3.936199E-04
  7.844366E+01   3.638803E-04
  7.943242E+01   3.680041E-04
  8.044074E+01   3.723111E-04
  8.144175E+01   3.459162E-04
  8.244871E+01   3.591373E-04
  8.344279E+01   3.268868E-04
  8.443681E+01   3.375363E-04
  8.544629E+01   3.348281E-04
  8.646054E+01   3.221612E-04
  8.745992E+01   3.159977E-04
  8.843319E+01   2.914148E-04
  8.944520E+01   3.241603E-04
  9.045674E+01   2.890427E-04
  9.144956E+01   2.927198E-04
  9.244672E+01   2.873117E-04
  9.344540E+01   2.810876E-04
  9.445312E+01   2.843815E-04
  9.544653E+01   2.637815E-04
  9.643056E+01   2.655859E-04
  9.744074E+01   2.712546E-04
  9.844855E+01   2.546971E-04
  9.945263E+01   2.625600E-04
  1.004490E+02   2.410602E-04
  1.014573E+02   2.559380E-04
  1.024713E+02   2.424243E-04
  1.034553E+02   2.288495E-04
  1.044457E+02   2.403690E-04
  1.054453E+02   2.239581E-04
  1.064520E+02   2.362294E-04
  1.074656E+02   2.222829E-04
  1.084549E+02   2.143253E-04
  1.094363E+02   2.160064E-04
  1.104336E+02   2.115638E-04
  1.114408E+02   2.167091E-04
  1.124485E+02   2.051495E-04
  1.134481E+02   2.038064E-04
  1.144615E+02   2.085017E-04
  1.154770E+02   1.968011E-04
  1.164576E+02   1.915136E-04
  1.174494E+02   1.923389E-04
  1.184551E+02   1.923474E-04
  1.194589E+02   1.888611E-04
  1.204633E+02   1.834743E-04
  1.214373E+02   1.759257E-04
  1.224281E+02   1.805541E-04
  1.234597E+02   1.884418E-04
  1.244665E+02   1.681662E-04
  1.254651E+02   1.770196E-04
  1.264479E+02   1.624542E-04
  1.274401E+02   1.713261E-04
