# k  E(k)
  1.165685E+00   8.324140E-01
  2.289014E+00   1.058234E-01
  3.279211E+00   2.630090E-02
  4.220481E+00   1.221026E-02
  5.313060E+00   8.368384E-03
  6.319715E+00   3.726225E-03
  7.323815E+00   2.791079E-03
  8.372961E+00   1.871229E-03
  9.374331E+00   1.173642E-03
  1.036583E+01   9.692989E-04
  1.133127E+01   6.335857E-04
  1.231775E+01   5.688401E-04
  1.338002E+01   4.793157E-04
  1.440681E+01   3.434122E-04
  1.538017E+01   2.860274E-04
  1.635360E+01   2.223838E-04
  1.735645E+01   2.140973E-04
  1.840444E+01   1.736272E-04
  1.941338E+01   1.395299E-04
  2.038168E+01   1.188129E-04
  2.142060E+01   1.137239E-04
  2.241571E+01   9.023131E-05
  2.338104E+01   7.826016E-05
  2.436040E+01   7.193654E-05
  2.538618E+01   6.729941E-05
  2.644280E+01   6.025226E-05
  2.743319E+01   4.829620E-05
  2.838762E+01   4.298674E-05
  2.938585E+01   4.323452E-05
  3.038908E+01   3.661098E-05
  3.141805E+01   3.583960E-05
  3.242466E+01   3.038720E-05
  3.342107E+01   2.774795E-05
  3.443713E+01   2.703615E-05
  3.542540E+01   2.195508E-05
  3.640865E+01   2.216113E-05
  3.739494E+01   1.957817E-05
  3.842231E+01   1.959671E-05
  3.943963E+01   1.711000E-05
  4.040461E+01   1.480701E-05
  4.140158E+01   1.551392E-05
  4.241545E+01   1.363726E-05
  4.344194E+01   1.349699E-05
  4.445512E+01   1.178007E-05
  4.543063E+01   1.071659E-05
  4.641442E+01   1.064626E-05
  4.740985E+01   9.668597E-06
  4.841659E+01   9.534049E-06
  4.941507E+01   8.549406E-06
  5.044505E+01   8.661913E-06
  5.146299E+01   7.723785E-06
  5.243955E+01   6.914381E-06
  5.342770E+01   7.065612E-06
  5.441129E+01   6.190660E-06
  5.543572E+01   6.654805E-06
  5.644685E+01   5.655736E-06
  5.743923E+01   5.545172E-06
  5.842750E+01   5.216031E-06
  5.941988E+01   4.937812E-06
  6.043083E+01   4.922472E-06
  6.144455E+01   4.547359E-06
  6.245348E+01   4.322963E-06
  6.344790E+01   4.123386E-06
  6.442937E+01   3.761645E-06
  6.543698E+01   3.942780E-06
  6.643623E+01   3.438894E-06
  6.742580E+01   3.444590E-06
  6.844382E+01   3.452063E-06
  6.944740E+01   3.001879E-06
  7.042945E+01   3.050760E-06
  7.141088E+01   2.751906E-06
  7.242528E+01   2.928458E-06
  7.344481E+01   2.677490E-06
  7.444984E+01   2.535406E-06
  7.544339E+01   2.465487E-06
  7.644711E+01   2.352223E-06
  7.745688E+01   2.312339E-06
  7.844366E+01   2.101772E-06
  7.943242E+01   2.090444E-06
  8.044074E+01   2.079624E-06
  8.144175E+01   1.900560E-06
  8.244871E+01   1.941154E-06
  8.344279E+01   1.738802E-06
  8.443681E+01   1.767359E-06
  8.544629E+01   1.725636E-06
  8.646054E+01   1.634431E-06
  8.745992E+01   1.578747E-06
  8.843319E+01   1.434599E-06
  8.944520E+01   1.571810E-06
  9.045674E+01   1.380644E-06
  9.144956E+01   1.378001E-06
  9.244672E+01   1.333154E-06
  9.344540E+01   1.285719E-06
  9.445312E+01   1.282320E-06
  9.544653E+01   1.172949E-06
  9.643056E+01   1.164929E-06
  9.744074E+01   1.173361E-06
  9.844855E+01   1.086741E-06
  9.945263E+01   1.105237E-06
  1.004490E+02   1.001321E-06
  1.014573E+02   1.049055E-06
  1.024713E+02   9.805854E-07
  1.034553E+02   9.139503E-07
  1.044457E+02   9.478435E-07
  1.054453E+02   8.719707E-07
  1.064520E+02   9.081793E-07
  1.074656E+02   8.438226E-07
  1.084549E+02   8.037348E-07
  1.094363E+02   8.003796E-07
  1.104336E+02   7.744810E-07
  1.114408E+02   7.837867E-07
  1.124485E+02   7.331120E-07
  1.134481E+02   7.197709E-07
  1.144615E+02   7.276824E-07
  1.154770E+02   6.787972E-07
  1.164576E+02   6.531574E-07
  1.174494E+02   6.485944E-07
  1.184551E+02   6.412976E-07
  1.194589E+02   6.226249E-07
  1.204633E+02   5.981458E-07
  1.214373E+02   5.674117E-07
  1.224281E+02   5.760659E-07
  1.234597E+02   5.945456E-07
  1.244665E+02   5.248551E-07
  1.254651E+02   5.466365E-07
  1.264479E+02   4.964670E-07
  1.274401E+02   5.181501E-07
