# k  E(k)
  1.165685E+00   5.702058E-15
  2.289014E+00   3.383543E-15
  3.279211E+00   3.891307E-15
  4.220481E+00   1.307640E-15
  5.313060E+00   1.330815E-15
  6.319715E+00   5.469240E-16
  7.323815E+00   1.024748E-15
  8.372961E+00   9.398228E-16
  9.374331E+00   8.435786E-16
  1.036583E+01   3.223614E-16
  1.133127E+01   5.201499E-16
  1.231775E+01   3.324294E-16
  1.338002E+01   4.949212E-16
  1.440681E+01   5.764196E-16
  1.538017E+01   1.172850E-15
  1.635360E+01   3.949031E-16
  1.735645E+01   2.719948E-16
  1.840444E+01   3.141835E-16
  1.941338E+01   2.961135E-16
  2.038168E+01   1.966281E-16
  2.142060E+01   1.950096E-16
  2.241571E+01   2.083478E-16
  2.338104E+01   2.365638E-16
  2.436040E+01   2.936670E-16
  2.538618E+01   2.597233E-16
  2.644280E+01   2.374027E-16
  2.743319E+01   2.514828E-16
  2.838762E+01   1.935760E-16
  2.938585E+01   2.894334E-16
  3.038908E+01   3.831979E-16
  3.141805E+01   1.342698E-15
  3.242466E+01   1.586004E-03
  3.342107E+01   1.539983E-03
  3.443713E+01   1.561490E-03
  3.542540E+01   1.317003E-03
  3.640865E+01   1.378517E-03
  3.739494E+01   1.262070E-03
  3.842231E+01   1.309794E-03
  3.943963E+01   1.184183E-03
  4.040461E+01   1.058395E-03
  4.140158E+01   1.145455E-03
  4.241545E+01   1.039964E-03
  4.344194E+01   1.062611E-03
  4.445512E+01   9.564484E-04
  4.543063E+01   8.955900E-04
  4.641442E+01   9.155300E-04
  4.740985E+01   8.553076E-04
  4.841659E+01   8.673265E-04
  4.941507E+01   7.992388E-04
  5.044505E+01   8.323545E-04
  5.146299E+01   7.622476E-04
  5.243955E+01   6.996894E-04
  5.342770E+01   7.330088E-04
  5.441129E+01   6.580657E-04
  5.543572E+01   7.252005E-04
  5.644685E+01   6.313951E-04
  5.743923E+01   6.335711E-04
  5.842750E+01   6.097030E-04
  5.941988E+01   5.902828E-04
  6.043083E+01   6.018222E-04
  6.144455E+01   5.684490E-04
  6.245348E+01   5.522409E-04
  6.344790E+01   5.379784E-04
  6.442937E+01   5.009362E-04
  6.543698E+01   5.360182E-04
  6.643623E+01   4.770659E-04
  6.742580E+01   4.873538E-04
  6.844382E+01   4.982713E-04
  6.944740E+01   4.417877E-04
  7.042945E+01   4.574693E-04
  7.141088E+01   4.203523E-04
  7.242528E+01   4.557899E-04
  7.344481E+01   4.245722E-04
  7.444984E+01   4.093960E-04
  7.544339E+01   4.052065E-04
  7.644711E+01   3.934728E-04
  7.745688E+01   3.936199E-04
  7.844366E+01   3.638803E-04
  7.943242E+01   3.680041E-04
  8.044074E+01   3.723110E-04
  8.144175E+01   3.459162E-04
  8.244871E+01   3.591373E-04
  8.344279E+01   3.268867E-04
  8.443681E+01   3.375363E-04
  8.544629E+01   3.348281E-04
  8.646054E+01   3.221612E-04
  8.745992E+01   3.159977E-04
  8.843319E+01   2.914147E-04
  8.944520E+01   3.241602E-04
  9.045674E+01   2.890427E-04
  9.144956E+01   2.927198E-04
  9.244672E+01   2.873117E-04
  9.344540E+01   2.810876E-04
  9.445312E+01   2.843814E-04
  9.544653E+01   2.637813E-04
  9.643056E+01   2.655859E-04
  9.744074E+01   2.712545E-04
  9.844855E+01   2.546971E-04
  9.945263E+01   2.625601E-04
  1.004490E+02   2.410602E-04
  1.014573E+02   2.559380E-04
  1.024713E+02   2.424242E-04
  1.034553E+02   2.288495E-04
  1.044457E+02   2.403689E-04
  1.054453E+02   2.239581E-04
  1.064520E+02   2.362294E-04
  1.074656E+02   2.222829E-04
  1.084549E+02   2.143254E-04
  1.094363E+02   2.160065E-04
  1.104336E+02   2.115639E-04
  1.114408E+02   2.167092E-04
  1.124485E+02   2.051495E-04
  1.134481E+02   2.038064E-04
  1.144615E+02   2.085017E-04
  1.154770E+02   1.968011E-04
  1.164576E+02   1.915136E-04
  1.174494E+02   1.923388E-04
  1.184551E+02   1.923474E-04
  1.194589E+02   1.888611E-04
  1.204633E+02   1.834743E-04
  1.214373E+02   1.759257E-04
  1.224281E+02   1.805541E-04
  1.234597E+02   1.884417E-04
  1.244665E+02   1.681662E-04
  1.254651E+02   1.770196E-04
  1.264479E+02   1.624542E-04
  1.274401E+02   1.713261E-04
