# k  E(k)
  1.165685E+00   1.829149E-01
  2.289014E+00   9.490244E-02
  3.279211E+00   5.155336E-02
  4.220481E+00   3.978790E-02
  5.313060E+00   4.253883E-02
  6.319715E+00   2.714489E-02
  7.323815E+00   2.722696E-02
  8.372961E+00   2.389441E-02
  9.374331E+00   1.884787E-02
  1.036583E+01   1.900362E-02
  1.133127E+01   1.488347E-02
  1.231775E+01   1.576934E-02
  1.338002E+01   1.565626E-02
  1.440681E+01   1.301311E-02
  1.538017E+01   1.236009E-02
  1.635360E+01   1.087239E-02
  1.735645E+01   1.177892E-02
  1.840444E+01   1.074694E-02
  1.941338E+01   9.614225E-03
  2.038168E+01   9.024137E-03
  2.142060E+01   9.536262E-03
  2.241571E+01   8.286018E-03
  2.338104E+01   7.820934E-03
  2.436040E+01   7.803909E-03
  2.538618E+01   7.927987E-03
  2.644280E+01   7.699788E-03
  2.743319E+01   6.645245E-03
  2.838762E+01   6.334384E-03
  2.938585E+01   6.823869E-03
  3.038908E+01   6.182044E-03
  3.141805E+01   6.466350E-03
  3.242466E+01   5.840132E-03
  3.342107E+01   5.666940E-03
  3.443713E+01   5.861765E-03
  3.542540E+01   5.038456E-03
  3.640865E+01   5.370423E-03
  3.739494E+01   5.005218E-03
  3.842231E+01   5.289318E-03
  3.943963E+01   4.866171E-03
  4.040461E+01   4.419961E-03
  4.140158E+01   4.861715E-03
  4.241545E+01   4.485857E-03
  4.344194E+01   4.657206E-03
  4.445512E+01   4.256952E-03
  4.543063E+01   4.044034E-03
  4.641442E+01   4.193631E-03
  4.740985E+01   3.973570E-03
  4.841659E+01   4.086143E-03
  4.941507E+01   3.817018E-03
  5.044505E+01   4.030274E-03
  5.146299E+01   3.740302E-03
  5.243955E+01   3.476620E-03
  5.342770E+01   3.687781E-03
  5.441129E+01   3.351275E-03
  5.543572E+01   3.739354E-03
  5.644685E+01   3.295202E-03
  5.743923E+01   3.345116E-03
  5.842750E+01   3.255978E-03
  5.941988E+01   3.187846E-03
  6.043083E+01   3.286891E-03
  6.144455E+01   3.139298E-03
  6.245348E+01   3.083021E-03
  6.344790E+01   3.035252E-03
  6.442937E+01   2.855340E-03
  6.543698E+01   3.087037E-03
  6.643623E+01   2.775434E-03
  6.742580E+01   2.863326E-03
  6.844382E+01   2.956871E-03
  6.944740E+01   2.647257E-03
  7.042945E+01   2.767015E-03
  7.141088E+01   2.566110E-03
  7.242528E+01   2.808665E-03
  7.344481E+01   2.640801E-03
  7.444984E+01   2.569590E-03
  7.544339E+01   2.565875E-03
  7.644711E+01   2.513652E-03
  7.745688E+01   2.536659E-03
  7.844366E+01   2.364919E-03
  7.943242E+01   2.411740E-03
  8.044074E+01   2.460580E-03
  8.144175E+01   2.305085E-03
  8.244871E+01   2.412861E-03
  8.344279E+01   2.213818E-03
  8.443681E+01   2.304036E-03
  8.544629E+01   2.303719E-03
  8.646054E+01   2.234073E-03
  8.745992E+01   2.208211E-03
  8.843319E+01   2.051504E-03
  8.944520E+01   2.299378E-03
  9.045674E+01   2.065725E-03
  9.144956E+01   2.107288E-03
  9.244672E+01   2.083341E-03
  9.344540E+01   2.052863E-03
  9.445312E+01   2.091820E-03
  9.544653E+01   1.953881E-03
  9.643056E+01   1.980743E-03
  9.744074E+01   2.037140E-03
  9.844855E+01   1.925943E-03
  9.945263E+01   1.998873E-03
  1.004490E+02   1.847445E-03
  1.014573E+02   1.974572E-03
  1.024713E+02   1.882741E-03
  1.034553E+02   1.788683E-03
  1.044457E+02   1.890684E-03
  1.054453E+02   1.772837E-03
  1.064520E+02   1.881850E-03
  1.074656E+02   1.781979E-03
  1.084549E+02   1.728714E-03
  1.094363E+02   1.752759E-03
  1.104336E+02   1.727133E-03
  1.114408E+02   1.779863E-03
  1.124485E+02   1.695079E-03
  1.134481E+02   1.693945E-03
  1.144615E+02   1.743264E-03
  1.154770E+02   1.655162E-03
  1.164576E+02   1.619793E-03
  1.174494E+02   1.635999E-03
  1.184551E+02   1.645390E-03
  1.194589E+02   1.624687E-03
  1.204633E+02   1.587190E-03
  1.214373E+02   1.530077E-03
  1.224281E+02   1.578862E-03
  1.234597E+02   1.657078E-03
  1.244665E+02   1.486816E-03
  1.254651E+02   1.573448E-03
  1.264479E+02   1.451511E-03
  1.274401E+02   1.538783E-03
