# k  E(k)
  1.165685E+00   4.800254E-01
  2.289014E+00   1.566881E-01
  3.279211E+00   6.577773E-02
  4.220481E+00   4.291829E-02
  5.313060E+00   3.953593E-02
  6.319715E+00   2.239591E-02
  7.323815E+00   2.038049E-02
  8.372961E+00   1.635091E-02
  9.374331E+00   1.195100E-02
  1.036583E+01   1.127475E-02
  1.133127E+01   8.315356E-03
  1.231775E+01   8.336823E-03
  1.338002E+01   7.836363E-03
  1.440681E+01   6.199203E-03
  1.538017E+01   5.636023E-03
  1.635360E+01   4.758007E-03
  1.735645E+01   4.955694E-03
  1.840444E+01   4.347417E-03
  1.941338E+01   3.752700E-03
  2.038168E+01   3.409920E-03
  2.142060E+01   3.486442E-03
  2.241571E+01   2.939038E-03
  2.338104E+01   2.697008E-03
  2.436040E+01   2.618515E-03
  2.538618E+01   2.588050E-03
  2.644280E+01   2.446268E-03
  2.743319E+01   2.059898E-03
  2.838762E+01   1.919195E-03
  2.938585E+01   2.020686E-03
  3.038908E+01   1.789904E-03
  3.141805E+01   1.831316E-03
  3.242466E+01   3.350899E-05
  3.342107E+01   1.091411E-15
  3.443713E+01   1.623138E-16
  3.542540E+01   1.530206E-16
  3.640865E+01   2.018156E-16
  3.739494E+01   1.303096E-16
  3.842231E+01   1.591522E-16
  3.943963E+01   2.122202E-16
  4.040461E+01   3.233869E-16
  4.140158E+01   1.687417E-16
  4.241545E+01   9.946556E-17
  4.344194E+01   1.137557E-16
  4.445512E+01   1.299573E-16
  4.543063E+01   5.610657E-16
  4.641442E+01   1.227295E-15
  4.740985E+01   3.726440E-15
  4.841659E+01   3.266107E-16
  4.941507E+01   8.814989E-16
  5.044505E+01   5.928366E-16
  5.146299E+01   2.927111E-16
  5.243955E+01   1.885431E-16
  5.342770E+01   2.278373E-16
  5.441129E+01   1.674560E-16
  5.543572E+01   2.365938E-16
  5.644685E+01   2.861611E-16
  5.743923E+01   2.071449E-16
  5.842750E+01   1.195832E-16
  5.941988E+01   1.187121E-16
  6.043083E+01   1.324530E-16
  6.144455E+01   1.944041E-16
  6.245348E+01   1.937174E-16
  6.344790E+01   4.898159E-16
  6.442937E+01   8.421348E-17
  6.543698E+01   3.567394E-16
  6.643623E+01   2.922339E-16
  6.742580E+01   2.119256E-16
  6.844382E+01   1.241390E-16
  6.944740E+01   1.510121E-16
  7.042945E+01   1.325039E-16
  7.141088E+01   1.799920E-16
  7.242528E+01   2.216864E-16
  7.344481E+01   1.774569E-16
  7.444984E+01   1.119064E-16
  7.544339E+01   1.830247E-16
  7.644711E+01   2.065807E-16
  7.745688E+01   2.281488E-16
  7.844366E+01   2.476885E-16
  7.943242E+01   1.259516E-15
  8.044074E+01   2.780845E-16
  8.144175E+01   3.616389E-16
  8.244871E+01   2.215906E-16
  8.344279E+01   2.083232E-16
  8.443681E+01   1.605737E-16
  8.544629E+01   1.641056E-16
  8.646054E+01   1.440490E-16
  8.745992E+01   1.675043E-16
  8.843319E+01   2.384446E-16
  8.944520E+01   1.597737E-16
  9.045674E+01   1.578479E-16
  9.144956E+01   1.878028E-16
  9.244672E+01   2.178801E-16
  9.344540E+01   2.170401E-16
  9.445312E+01   5.407209E-16
  9.544653E+01   1.683628E-15
  9.643056E+01   1.467929E-16
  9.744074E+01   1.443065E-15
  9.844855E+01   3.925123E-16
  9.945263E+01   3.896209E-16
  1.004490E+02   1.908278E-16
  1.014573E+02   1.438572E-16
  1.024713E+02   1.657904E-16
  1.034553E+02   2.600389E-16
  1.044457E+02   2.661752E-16
  1.054453E+02   3.114712E-16
  1.064520E+02   1.506958E-16
  1.074656E+02   1.626295E-16
  1.084549E+02   1.253963E-16
  1.094363E+02   1.450901E-16
  1.104336E+02   1.751676E-16
  1.114408E+02   5.968263E-16
  1.124485E+02   1.552176E-16
  1.134481E+02   2.539946E-16
  1.144615E+02   2.402975E-16
  1.154770E+02   2.119701E-16
  1.164576E+02   2.002485E-16
  1.174494E+02   1.609975E-16
  1.184551E+02   1.837387E-16
  1.194589E+02   1.719317E-16
  1.204633E+02   2.006488E-16
  1.214373E+02   2.143810E-16
  1.224281E+02   1.634945E-16
  1.234597E+02   2.032631E-16
  1.244665E+02   2.129421E-16
  1.254651E+02   2.700037E-16
  1.264479E+02   3.534170E-16
  1.274401E+02   1.895755E-15
