# k  E(k)
  1.165685E+00   4.800254E-01
  2.289014E+00   1.566881E-01
  3.279211E+00   6.577773E-02
  4.220481E+00   4.291829E-02
  5.313060E+00   3.953593E-02
  6.319715E+00   2.239591E-02
  7.323815E+00   2.038049E-02
  8.372961E+00   1.635091E-02
  9.374331E+00   1.195100E-02
  1.036583E+01   1.127475E-02
  1.133127E+01   8.315356E-03
  1.231775E+01   8.336823E-03
  1.338002E+01   7.836363E-03
  1.440681E+01   6.199203E-03
  1.538017E+01   5.636022E-03
  1.635360E+01   4.758007E-03
  1.735645E+01   4.955694E-03
  1.840444E+01   4.347417E-03
  1.941338E+01   3.752700E-03
  2.038168E+01   3.409920E-03
  2.142060E+01   3.486443E-03
  2.241571E+01   2.939038E-03
  2.338104E+01   2.697009E-03
  2.436040E+01   2.618515E-03
  2.538618E+01   2.588050E-03
  2.644280E+01   2.446267E-03
  2.743319E+01   2.059898E-03
  2.838762E+01   1.919195E-03
  2.938585E+01   2.020686E-03
  3.038908E+01   1.789904E-03
  3.141805E+01   1.831316E-03
  3.242466E+01   1.553694E-03
  3.342107E+01   9.685333E-04
  3.443713E+01   6.830002E-04
  3.542540E+01   4.537099E-04
  3.640865E+01   4.125357E-04
  3.739494E+01   3.398181E-04
  3.842231E+01   4.390090E-04
  3.943963E+01   3.984982E-04
  4.040461E+01   3.441249E-04
  4.140158E+01   3.211168E-04
  4.241545E+01   3.551400E-04
  4.344194E+01   3.044787E-04
  4.445512E+01   2.479727E-04
  4.543063E+01   2.095122E-04
  4.641442E+01   2.424105E-04
  4.740985E+01   1.570718E-04
  4.841659E+01   1.674003E-04
  4.941507E+01   1.839251E-04
  5.044505E+01   1.760126E-04
  5.146299E+01   1.397255E-04
  5.243955E+01   1.169075E-04
  5.342770E+01   9.614765E-05
  5.441129E+01   7.993149E-05
  5.543572E+01   7.831218E-05
  5.644685E+01   5.372137E-05
  5.743923E+01   4.256000E-05
  5.842750E+01   3.560784E-05
  5.941988E+01   2.785431E-05
  6.043083E+01   2.063607E-05
  6.144455E+01   1.245269E-05
  6.245348E+01   6.527897E-06
  6.344790E+01   2.415427E-06
  6.442937E+01   1.195309E-06
  6.543698E+01   1.281300E-06
  6.643623E+01   9.164938E-07
  6.742580E+01   7.916274E-07
  6.844382E+01   7.602814E-07
  6.944740E+01   6.435543E-07
  7.042945E+01   6.787949E-07
  7.141088E+01   4.879300E-07
  7.242528E+01   4.318763E-07
  7.344481E+01   3.667950E-07
  7.444984E+01   3.073100E-07
  7.544339E+01   2.816021E-07
  7.644711E+01   2.646702E-07
  7.745688E+01   1.907763E-07
  7.844366E+01   1.540215E-07
  7.943242E+01   1.217288E-07
  8.044074E+01   1.041212E-07
  8.144175E+01   8.863157E-08
  8.244871E+01   6.852085E-08
  8.344279E+01   4.941746E-08
  8.443681E+01   4.106950E-08
  8.544629E+01   2.930653E-08
  8.646054E+01   2.185072E-08
  8.745992E+01   1.583723E-08
  8.843319E+01   8.816724E-09
  8.944520E+01   6.080853E-09
  9.045674E+01   3.775583E-09
  9.144956E+01   2.363790E-09
  9.244672E+01   1.072765E-09
  9.344540E+01   3.762228E-10
  9.445312E+01   7.372325E-11
  9.544653E+01   3.801851E-12
  9.643056E+01   1.570400E-14
  9.744074E+01   1.241299E-14
  9.844855E+01   1.290100E-14
  9.945263E+01   1.518375E-14
  1.004490E+02   1.271862E-14
  1.014573E+02   1.227151E-14
  1.024713E+02   1.379756E-14
  1.034553E+02   1.329035E-14
  1.044457E+02   1.547494E-14
  1.054453E+02   1.313756E-14
  1.064520E+02   1.173258E-14
  1.074656E+02   1.129760E-14
  1.084549E+02   1.232847E-14
  1.094363E+02   1.251112E-14
  1.104336E+02   1.396411E-14
  1.114408E+02   1.809696E-14
  1.124485E+02   2.320809E-14
  1.134481E+02   1.767257E-14
  1.144615E+02   1.631995E-14
  1.154770E+02   1.711878E-14
  1.164576E+02   1.592911E-14
  1.174494E+02   1.478956E-14
  1.184551E+02   1.574097E-14
  1.194589E+02   1.394065E-14
  1.204633E+02   1.632203E-14
  1.214373E+02   1.535354E-14
  1.224281E+02   1.900837E-14
  1.234597E+02   2.069036E-14
  1.244665E+02   2.005999E-14
  1.254651E+02   2.267765E-14
  1.264479E+02   2.730411E-14
  1.274401E+02   2.587321E-14
