# k  E(k)
  1.165685E+00   6.726837E-20
  2.289014E+00   9.873778E-20
  3.279211E+00   1.086120E-19
  4.220481E+00   1.610114E-19
  5.313060E+00   1.726990E-19
  6.319715E+00   2.348750E-19
  7.323815E+00   4.412108E-19
  8.372961E+00   4.755942E-19
  9.374331E+00   3.638183E-19
  1.036583E+01   7.066922E-19
  1.133127E+01   5.673530E-19
  1.231775E+01   8.395463E-19
  1.338002E+01   1.088562E-18
  1.440681E+01   6.792906E-19
  1.538017E+01   9.454771E-19
  1.635360E+01   9.324595E-19
  1.735645E+01   1.117157E-18
  1.840444E+01   1.478816E-18
  1.941338E+01   9.865772E-19
  2.038168E+01   1.251494E-18
  2.142060E+01   1.672779E-18
  2.241571E+01   1.217480E-18
  2.338104E+01   1.340656E-18
  2.436040E+01   9.674020E-19
  2.538618E+01   1.510737E-18
  2.644280E+01   1.606232E-18
  2.743319E+01   1.675785E-18
  2.838762E+01   1.884719E-18
  2.938585E+01   1.860267E-18
  3.038908E+01   1.817026E-18
  3.141805E+01   2.286941E-18
  3.242466E+01   1.520185E-05
  3.342107E+01   9.685336E-06
  3.443713E+01   6.830003E-06
  3.542540E+01   4.537098E-06
  3.640865E+01   4.125355E-06
  3.739494E+01   3.398180E-06
  3.842231E+01   4.390091E-06
  3.943963E+01   3.984981E-06
  4.040461E+01   3.441249E-06
  4.140158E+01   3.211168E-06
  4.241545E+01   3.551398E-06
  4.344194E+01   3.044787E-06
  4.445512E+01   2.479728E-06
  4.543063E+01   2.095123E-06
  4.641442E+01   2.424106E-06
  4.740985E+01   1.570720E-06
  4.841659E+01   1.674003E-06
  4.941507E+01   1.839252E-06
  5.044505E+01   1.760126E-06
  5.146299E+01   1.397256E-06
  5.243955E+01   1.169076E-06
  5.342770E+01   9.614765E-07
  5.441129E+01   7.993148E-07
  5.543572E+01   7.831224E-07
  5.644685E+01   5.372133E-07
  5.743923E+01   4.256001E-07
  5.842750E+01   3.560783E-07
  5.941988E+01   2.785433E-07
  6.043083E+01   2.063607E-07
  6.144455E+01   1.245271E-07
  6.245348E+01   6.527896E-08
  6.344790E+01   2.415426E-08
  6.442937E+01   1.195309E-08
  6.543698E+01   1.281308E-08
  6.643623E+01   9.164947E-09
  6.742580E+01   7.916232E-09
  6.844382E+01   7.602833E-09
  6.944740E+01   6.435529E-09
  7.042945E+01   6.787967E-09
  7.141088E+01   4.879317E-09
  7.242528E+01   4.318788E-09
  7.344481E+01   3.667948E-09
  7.444984E+01   3.073100E-09
  7.544339E+01   2.816038E-09
  7.644711E+01   2.646688E-09
  7.745688E+01   1.907775E-09
  7.844366E+01   1.540198E-09
  7.943242E+01   1.217314E-09
  8.044074E+01   1.041204E-09
  8.144175E+01   8.863131E-10
  8.244871E+01   6.852198E-10
  8.344279E+01   4.941768E-10
  8.443681E+01   4.106968E-10
  8.544629E+01   2.930629E-10
  8.646054E+01   2.185054E-10
  8.745992E+01   1.583730E-10
  8.843319E+01   8.816858E-11
  8.944520E+01   6.080809E-11
  9.045674E+01   3.775336E-11
  9.144956E+01   2.363873E-11
  9.244672E+01   1.072724E-11
  9.344540E+01   3.761267E-12
  9.445312E+01   7.375727E-13
  9.544653E+01   3.806713E-14
  9.643056E+01   1.548059E-16
  9.744074E+01   1.176978E-16
  9.844855E+01   1.393814E-16
  9.945263E+01   1.549594E-16
  1.004490E+02   1.204276E-16
  1.014573E+02   1.282289E-16
  1.024713E+02   1.378028E-16
  1.034553E+02   1.387216E-16
  1.044457E+02   1.584357E-16
  1.054453E+02   1.392113E-16
  1.064520E+02   1.259075E-16
  1.074656E+02   1.188608E-16
  1.084549E+02   1.316856E-16
  1.094363E+02   1.279712E-16
  1.104336E+02   1.557442E-16
  1.114408E+02   1.728379E-16
  1.124485E+02   2.388128E-16
  1.134481E+02   1.898711E-16
  1.144615E+02   1.714689E-16
  1.154770E+02   1.747560E-16
  1.164576E+02   1.642135E-16
  1.174494E+02   1.565708E-16
  1.184551E+02   1.642211E-16
  1.194589E+02   1.493457E-16
  1.204633E+02   1.727601E-16
  1.214373E+02   1.559698E-16
  1.224281E+02   1.911032E-16
  1.234597E+02   2.108506E-16
  1.244665E+02   2.057274E-16
  1.254651E+02   2.445253E-16
  1.264479E+02   2.915047E-16
  1.274401E+02   2.601057E-16
