# k  E(k)
  1.165685E+00   4.491510E-02
  2.289014E+00   1.173300E-02
  3.279211E+00   6.355332E-03
  4.220481E+00   2.805220E-03
  5.313060E+00   1.936927E-03
  6.319715E+00   1.053500E-03
  7.323815E+00   7.849692E-04
  8.372961E+00   3.805515E-05
  9.374331E+00   2.707665E-17
  1.036583E+01   3.393419E-18
  1.133127E+01   9.668319E-18
  1.231775E+01   9.377546E-18
  1.338002E+01   2.218198E-17
  1.440681E+01   1.378826E-17
  1.538017E+01   6.910345E-17
  1.635360E+01   6.268984E-18
  1.735645E+01   1.960816E-17
  1.840444E+01   8.379883E-18
  1.941338E+01   7.373060E-18
  2.038168E+01   7.724209E-18
  2.142060E+01   6.027759E-18
  2.241571E+01   4.494906E-18
  2.338104E+01   7.262580E-18
  2.436040E+01   3.469925E-18
  2.538618E+01   9.811402E-18
  2.644280E+01   7.127224E-18
  2.743319E+01   6.036095E-18
  2.838762E+01   5.654657E-18
  2.938585E+01   1.029232E-17
  3.038908E+01   1.649106E-17
  3.141805E+01   9.572010E-17
  3.242466E+01   1.085807E-17
  3.342107E+01   1.058733E-16
  3.443713E+01   6.673243E-18
  3.542540E+01   1.474921E-17
  3.640865E+01   7.616797E-18
  3.739494E+01   7.671029E-18
  3.842231E+01   6.567756E-18
  3.943963E+01   8.737928E-18
  4.040461E+01   4.028128E-18
  4.140158E+01   9.696147E-18
  4.241545E+01   4.295769E-18
  4.344194E+01   7.173003E-18
  4.445512E+01   1.173989E-17
  4.543063E+01   4.802994E-17
  4.641442E+01   7.022931E-17
  4.740985E+01   2.868740E-16
  4.841659E+01   3.031103E-17
  4.941507E+01   7.944414E-17
  5.044505E+01   3.853663E-17
  5.146299E+01   1.660698E-17
  5.243955E+01   7.558250E-18
  5.342770E+01   1.069035E-17
  5.441129E+01   6.989574E-18
  5.543572E+01   1.025814E-17
  5.644685E+01   7.978058E-18
  5.743923E+01   1.440361E-17
  5.842750E+01   4.413824E-18
  5.941988E+01   6.396548E-18
  6.043083E+01   1.139936E-17
  6.144455E+01   7.912820E-18
  6.245348E+01   1.467639E-17
  6.344790E+01   5.415209E-17
  6.442937E+01   6.123699E-18
  6.543698E+01   2.411192E-17
  6.643623E+01   9.528418E-18
  6.742580E+01   9.897599E-18
  6.844382E+01   8.503906E-18
  6.944740E+01   7.087471E-18
  7.042945E+01   7.326861E-18
  7.141088E+01   1.208165E-17
  7.242528E+01   1.087143E-17
  7.344481E+01   1.165885E-17
  7.444984E+01   6.427810E-18
  7.544339E+01   7.580482E-18
  7.644711E+01   1.023712E-17
  7.745688E+01   1.049002E-17
  7.844366E+01   1.403992E-17
  7.943242E+01   8.857277E-17
  8.044074E+01   1.338023E-17
  8.144175E+01   3.005201E-17
  8.244871E+01   1.495108E-17
  8.344279E+01   9.251054E-18
  8.443681E+01   1.136767E-17
  8.544629E+01   8.011047E-18
  8.646054E+01   9.247001E-18
  8.745992E+01   8.200159E-18
  8.843319E+01   5.431813E-18
  8.944520E+01   1.040360E-17
  9.045674E+01   7.403860E-18
  9.144956E+01   1.269628E-17
  9.244672E+01   1.094509E-17
  9.344540E+01   1.396070E-17
  9.445312E+01   3.288983E-17
  9.544653E+01   1.532387E-16
  9.643056E+01   1.475552E-17
  9.744074E+01   1.045591E-16
  9.844855E+01   2.050794E-17
  9.945263E+01   1.144286E-17
  1.004490E+02   8.791156E-18
  1.014573E+02   1.220000E-17
  1.024713E+02   7.773795E-18
  1.034553E+02   1.026833E-17
  1.044457E+02   7.634219E-18
  1.054453E+02   1.618407E-17
  1.064520E+02   6.900996E-18
  1.074656E+02   1.058380E-17
  1.084549E+02   7.418609E-18
  1.094363E+02   1.019234E-17
  1.104336E+02   1.202404E-17
  1.114408E+02   1.759237E-17
  1.124485E+02   7.374510E-18
  1.134481E+02   1.298207E-17
  1.144615E+02   1.251728E-17
  1.154770E+02   1.153376E-17
  1.164576E+02   7.334828E-18
  1.174494E+02   1.006594E-17
  1.184551E+02   1.281018E-17
  1.194589E+02   1.200183E-17
  1.204633E+02   1.089937E-17
  1.214373E+02   9.678295E-18
  1.224281E+02   9.362063E-18
  1.234597E+02   1.460518E-17
  1.244665E+02   1.009721E-17
  1.254651E+02   1.804097E-17
  1.264479E+02   2.391473E-17
  1.274401E+02   9.831495E-17
