# k  E(k)
  1.165685E+00   4.631747E-02
  2.289014E+00   1.511878E-02
  3.279211E+00   6.346868E-03
  4.220481E+00   4.141169E-03
  5.313060E+00   3.814807E-03
  6.319715E+00   2.160973E-03
  7.323815E+00   1.966506E-03
  8.372961E+00   1.577693E-03
  9.374331E+00   1.153147E-03
  1.036583E+01   1.087896E-03
  1.133127E+01   8.023455E-04
  1.231775E+01   8.044167E-04
  1.338002E+01   7.561276E-04
  1.440681E+01   5.981587E-04
  1.538017E+01   5.438178E-04
  1.635360E+01   1.426813E-05
  1.735645E+01   2.483620E-17
  1.840444E+01   1.898394E-17
  1.941338E+01   9.649937E-18
  2.038168E+01   6.148047E-18
  2.142060E+01   1.056172E-17
  2.241571E+01   8.738001E-18
  2.338104E+01   1.275890E-17
  2.436040E+01   1.387097E-17
  2.538618E+01   1.708224E-17
  2.644280E+01   1.464993E-17
  2.743319E+01   1.268032E-17
  2.838762E+01   1.497960E-17
  2.938585E+01   1.780458E-17
  3.038908E+01   3.253220E-17
  3.141805E+01   9.137282E-17
  3.242466E+01   6.628572E-18
  3.342107E+01   1.048653E-16
  3.443713E+01   1.812879E-17
  3.542540E+01   1.060108E-17
  3.640865E+01   1.642552E-17
  3.739494E+01   1.267206E-17
  3.842231E+01   1.214501E-17
  3.943963E+01   1.813553E-17
  4.040461E+01   2.565761E-17
  4.140158E+01   1.504399E-17
  4.241545E+01   7.530955E-18
  4.344194E+01   1.290654E-17
  4.445512E+01   1.239502E-17
  4.543063E+01   4.751261E-17
  4.641442E+01   1.186043E-16
  4.740985E+01   3.614902E-16
  4.841659E+01   1.449198E-17
  4.941507E+01   1.136659E-16
  5.044505E+01   5.559221E-17
  5.146299E+01   2.997047E-17
  5.243955E+01   2.066194E-17
  5.342770E+01   1.623101E-17
  5.441129E+01   1.905557E-17
  5.543572E+01   3.162701E-17
  5.644685E+01   2.134335E-17
  5.743923E+01   1.758900E-17
  5.842750E+01   7.917851E-18
  5.941988E+01   1.515490E-17
  6.043083E+01   1.507775E-17
  6.144455E+01   2.462242E-17
  6.245348E+01   2.179771E-17
  6.344790E+01   3.045272E-17
  6.442937E+01   9.370366E-18
  6.543698E+01   4.760913E-17
  6.643623E+01   2.119396E-17
  6.742580E+01   1.944648E-17
  6.844382E+01   2.431834E-17
  6.944740E+01   1.590997E-17
  7.042945E+01   1.548349E-17
  7.141088E+01   1.519794E-17
  7.242528E+01   1.256835E-17
  7.344481E+01   1.124777E-17
  7.444984E+01   1.407093E-17
  7.544339E+01   1.228757E-17
  7.644711E+01   1.489184E-17
  7.745688E+01   1.047022E-17
  7.844366E+01   3.040217E-17
  7.943242E+01   1.010298E-16
  8.044074E+01   2.054183E-17
  8.144175E+01   3.518640E-17
  8.244871E+01   2.561063E-17
  8.344279E+01   2.012877E-17
  8.443681E+01   1.705990E-17
  8.544629E+01   1.487572E-17
  8.646054E+01   1.278669E-17
  8.745992E+01   1.824542E-17
  8.843319E+01   2.268549E-17
  8.944520E+01   2.425196E-17
  9.045674E+01   1.598486E-17
  9.144956E+01   1.903145E-17
  9.244672E+01   2.259151E-17
  9.344540E+01   2.453141E-17
  9.445312E+01   5.557564E-17
  9.544653E+01   1.955262E-16
  9.643056E+01   1.119467E-17
  9.744074E+01   1.839445E-16
  9.844855E+01   3.558159E-17
  9.945263E+01   1.662001E-17
  1.004490E+02   1.327559E-17
  1.014573E+02   1.492465E-17
  1.024713E+02   1.375131E-17
  1.034553E+02   1.860352E-17
  1.044457E+02   2.266788E-17
  1.054453E+02   2.639710E-17
  1.064520E+02   1.297013E-17
  1.074656E+02   1.093268E-17
  1.084549E+02   1.374159E-17
  1.094363E+02   1.570974E-17
  1.104336E+02   1.914142E-17
  1.114408E+02   4.534171E-17
  1.124485E+02   1.442611E-17
  1.134481E+02   2.423562E-17
  1.144615E+02   2.224172E-17
  1.154770E+02   1.881023E-17
  1.164576E+02   1.249240E-17
  1.174494E+02   1.511013E-17
  1.184551E+02   1.360907E-17
  1.194589E+02   3.155827E-17
  1.204633E+02   1.871444E-17
  1.214373E+02   2.146255E-17
  1.224281E+02   1.947058E-17
  1.234597E+02   2.476305E-17
  1.244665E+02   2.077902E-17
  1.254651E+02   4.027085E-17
  1.264479E+02   3.634454E-17
  1.274401E+02   2.066727E-16
