# k  E(k)
  1.165685E+00   4.491511E-02
  2.289014E+00   1.173300E-02
  3.279211E+00   6.355336E-03
  4.220481E+00   2.805221E-03
  5.313060E+00   1.936927E-03
  6.319715E+00   1.053500E-03
  7.323815E+00   7.849692E-04
  8.372961E+00   5.389795E-04
  9.374331E+00   3.022419E-04
  1.036583E+01   3.224675E-04
  1.133127E+01   1.126368E-04
  1.231775E+01   1.315193E-04
  1.338002E+01   1.080141E-04
  1.440681E+01   5.736403E-05
  1.538017E+01   5.227209E-05
  1.635360E+01   3.207928E-05
  1.735645E+01   2.869804E-05
  1.840444E+01   2.306013E-05
  1.941338E+01   1.489093E-05
  2.038168E+01   1.162851E-05
  2.142060E+01   1.079979E-05
  2.241571E+01   6.753379E-06
  2.338104E+01   6.808217E-06
  2.436040E+01   5.036889E-06
  2.538618E+01   3.560330E-06
  2.644280E+01   3.265095E-06
  2.743319E+01   2.405987E-06
  2.838762E+01   1.830947E-06
  2.938585E+01   1.650065E-06
  3.038908E+01   1.247108E-06
  3.141805E+01   1.159968E-06
  3.242466E+01   7.559411E-07
  3.342107E+01   7.831241E-07
  3.443713E+01   5.912260E-07
  3.542540E+01   4.147360E-07
  3.640865E+01   4.416214E-07
  3.739494E+01   3.229672E-07
  3.842231E+01   2.767991E-07
  3.943963E+01   2.144847E-07
  4.040461E+01   1.645638E-07
  4.140158E+01   1.888367E-07
  4.241545E+01   1.065304E-07
  4.344194E+01   1.293537E-07
  4.445512E+01   8.819949E-08
  4.543063E+01   7.554628E-08
  4.641442E+01   6.722676E-08
  4.740985E+01   5.102600E-08
  4.841659E+01   5.208826E-08
  4.941507E+01   3.757363E-08
  5.044505E+01   3.761627E-08
  5.146299E+01   2.843201E-08
  5.243955E+01   1.943839E-08
  5.342770E+01   2.394891E-08
  5.441129E+01   1.688749E-08
  5.543572E+01   1.675678E-08
  5.644685E+01   1.129666E-08
  5.743923E+01   1.054107E-08
  5.842750E+01   1.089169E-08
  5.941988E+01   7.051428E-09
  6.043083E+01   8.014920E-09
  6.144455E+01   5.436990E-09
  6.245348E+01   5.202890E-09
  6.344790E+01   4.466839E-09
  6.442937E+01   3.334664E-09
  6.543698E+01   3.845395E-09
  6.643623E+01   2.435457E-09
  6.742580E+01   2.655503E-09
  6.844382E+01   2.077708E-09
  6.944740E+01   1.523996E-09
  7.042945E+01   1.873035E-09
  7.141088E+01   1.175672E-09
  7.242528E+01   1.298776E-09
  7.344481E+01   9.574417E-10
  7.444984E+01   8.535937E-10
  7.544339E+01   8.143893E-10
  7.644711E+01   5.541430E-10
  7.745688E+01   6.869210E-10
  7.844366E+01   4.212465E-10
  7.943242E+01   4.593113E-10
  8.044074E+01   3.547337E-10
  8.144175E+01   2.718342E-10
  8.244871E+01   3.392284E-10
  8.344279E+01   2.014232E-10
  8.443681E+01   2.365250E-10
  8.544629E+01   1.733472E-10
  8.646054E+01   1.766745E-10
  8.745992E+01   1.967132E-10
  8.843319E+01   1.449515E-10
  8.944520E+01   1.752072E-10
  9.045674E+01   1.392197E-10
  9.144956E+01   1.296718E-10
  9.244672E+01   1.311492E-10
  9.344540E+01   9.755044E-11
  9.445312E+01   1.137757E-10
  9.544653E+01   9.149245E-11
  9.643056E+01   8.591559E-11
  9.744074E+01   1.022332E-10
  9.844855E+01   9.557351E-11
  9.945263E+01   1.009435E-10
  1.004490E+02   8.607501E-11
  1.014573E+02   1.259017E-10
  1.024713E+02   1.404689E-10
  1.034553E+02   1.469100E-10
  1.044457E+02   2.080738E-10
  1.054453E+02   1.904487E-10
  1.064520E+02   2.888350E-10
  1.074656E+02   3.231906E-10
  1.084549E+02   3.174372E-10
  1.094363E+02   4.637599E-10
  1.104336E+02   4.813083E-10
  1.114408E+02   4.929788E-10
  1.124485E+02   6.144475E-10
  1.134481E+02   5.285805E-10
  1.144615E+02   7.153252E-10
  1.154770E+02   5.443544E-10
  1.164576E+02   7.068881E-10
  1.174494E+02   5.912044E-10
  1.184551E+02   6.696930E-10
  1.194589E+02   5.908825E-10
  1.204633E+02   6.123019E-10
  1.214373E+02   5.262653E-10
  1.224281E+02   4.155020E-10
  1.234597E+02   4.986134E-10
  1.244665E+02   3.310393E-10
  1.254651E+02   3.668794E-10
  1.264479E+02   2.765267E-10
  1.274401E+02   2.639219E-10
