# k  E(k)
  1.165685E+00   3.491056E-16
  2.289014E+00   2.680892E-16
  3.279211E+00   2.982110E-16
  4.220481E+00   1.076340E-16
  5.313060E+00   5.051542E-17
  6.319715E+00   1.826272E-17
  7.323815E+00   6.688801E-17
  8.372961E+00   5.009244E-04
  9.374331E+00   3.022419E-04
  1.036583E+01   3.224675E-04
  1.133127E+01   1.126368E-04
  1.231775E+01   1.315193E-04
  1.338002E+01   1.080141E-04
  1.440681E+01   5.736403E-05
  1.538017E+01   5.227209E-05
  1.635360E+01   3.207928E-05
  1.735645E+01   2.869805E-05
  1.840444E+01   2.306013E-05
  1.941338E+01   1.489093E-05
  2.038168E+01   1.162851E-05
  2.142060E+01   1.079978E-05
  2.241571E+01   6.753379E-06
  2.338104E+01   6.808217E-06
  2.436040E+01   5.036889E-06
  2.538618E+01   3.560329E-06
  2.644280E+01   3.265094E-06
  2.743319E+01   2.405986E-06
  2.838762E+01   1.830947E-06
  2.938585E+01   1.650064E-06
  3.038908E+01   1.247109E-06
  3.141805E+01   1.159968E-06
  3.242466E+01   7.559411E-07
  3.342107E+01   7.831230E-07
  3.443713E+01   5.912260E-07
  3.542540E+01   4.147362E-07
  3.640865E+01   4.416212E-07
  3.739494E+01   3.229672E-07
  3.842231E+01   2.767991E-07
  3.943963E+01   2.144848E-07
  4.040461E+01   1.645638E-07
  4.140158E+01   1.888366E-07
  4.241545E+01   1.065304E-07
  4.344194E+01   1.293536E-07
  4.445512E+01   8.819949E-08
  4.543063E+01   7.554647E-08
  4.641442E+01   6.722670E-08
  4.740985E+01   5.102620E-08
  4.841659E+01   5.208827E-08
  4.941507E+01   3.757376E-08
  5.044505E+01   3.761629E-08
  5.146299E+01   2.843191E-08
  5.243955E+01   1.943842E-08
  5.342770E+01   2.394896E-08
  5.441129E+01   1.688748E-08
  5.543572E+01   1.675674E-08
  5.644685E+01   1.129668E-08
  5.743923E+01   1.054106E-08
  5.842750E+01   1.089169E-08
  5.941988E+01   7.051436E-09
  6.043083E+01   8.014895E-09
  6.144455E+01   5.437007E-09
  6.245348E+01   5.202890E-09
  6.344790E+01   4.466818E-09
  6.442937E+01   3.334661E-09
  6.543698E+01   3.845392E-09
  6.643623E+01   2.435448E-09
  6.742580E+01   2.655499E-09
  6.844382E+01   2.077706E-09
  6.944740E+01   1.524002E-09
  7.042945E+01   1.873035E-09
  7.141088E+01   1.175678E-09
  7.242528E+01   1.298778E-09
  7.344481E+01   9.574380E-10
  7.444984E+01   8.535955E-10
  7.544339E+01   8.143883E-10
  7.644711E+01   5.541417E-10
  7.745688E+01   6.869204E-10
  7.844366E+01   4.212503E-10
  7.943242E+01   4.593188E-10
  8.044074E+01   3.547306E-10
  8.144175E+01   2.718310E-10
  8.244871E+01   3.392225E-10
  8.344279E+01   2.014215E-10
  8.443681E+01   2.365239E-10
  8.544629E+01   1.733453E-10
  8.646054E+01   1.766783E-10
  8.745992E+01   1.967102E-10
  8.843319E+01   1.449510E-10
  8.944520E+01   1.752080E-10
  9.045674E+01   1.392191E-10
  9.144956E+01   1.296731E-10
  9.244672E+01   1.311519E-10
  9.344540E+01   9.755186E-11
  9.445312E+01   1.137764E-10
  9.544653E+01   9.148960E-11
  9.643056E+01   8.591504E-11
  9.744074E+01   1.022317E-10
  9.844855E+01   9.557330E-11
  9.945263E+01   1.009444E-10
  1.004490E+02   8.607016E-11
  1.014573E+02   1.259014E-10
  1.024713E+02   1.404685E-10
  1.034553E+02   1.469092E-10
  1.044457E+02   2.080732E-10
  1.054453E+02   1.904467E-10
  1.064520E+02   2.888412E-10
  1.074656E+02   3.231904E-10
  1.084549E+02   3.174392E-10
  1.094363E+02   4.637563E-10
  1.104336E+02   4.813075E-10
  1.114408E+02   4.929779E-10
  1.124485E+02   6.144497E-10
  1.134481E+02   5.285855E-10
  1.144615E+02   7.153300E-10
  1.154770E+02   5.443477E-10
  1.164576E+02   7.068887E-10
  1.174494E+02   5.912068E-10
  1.184551E+02   6.696948E-10
  1.194589E+02   5.908787E-10
  1.204633E+02   6.123077E-10
  1.214373E+02   5.262626E-10
  1.224281E+02   4.155042E-10
  1.234597E+02   4.986131E-10
  1.244665E+02   3.310408E-10
  1.254651E+02   3.668794E-10
  1.264479E+02   2.765315E-10
  1.274401E+02   2.639227E-10
