# k  E(k)
  1.165685E+00   5.307790E-03
  2.289014E+00   7.539180E-03
  3.279211E+00   4.548156E-03
  4.220481E+00   2.523111E-03
  5.313060E+00   2.076718E-03
  6.319715E+00   1.189997E-03
  7.323815E+00   8.666348E-04
  8.372961E+00   8.203586E-04
  9.374331E+00   2.864613E-04
  1.036583E+01   3.690676E-04
  1.133127E+01   1.570655E-04
  1.231775E+01   1.889483E-04
  1.338002E+01   9.863926E-05
  1.440681E+01   7.158809E-05
  1.538017E+01   6.447933E-05
  1.635360E+01   3.341053E-05
  1.735645E+01   2.878037E-05
  1.840444E+01   2.420234E-05
  1.941338E+01   1.306273E-05
  2.038168E+01   1.107607E-05
  2.142060E+01   8.160684E-06
  2.241571E+01   5.835818E-06
  2.338104E+01   4.590776E-06
  2.436040E+01   2.928298E-06
  2.538618E+01   2.553056E-06
  2.644280E+01   2.161835E-06
  2.743319E+01   1.325701E-06
  2.838762E+01   1.122389E-06
  2.938585E+01   9.026449E-07
  3.038908E+01   7.537654E-07
  3.141805E+01   6.434060E-07
  3.242466E+01   4.082843E-07
  3.342107E+01   3.594823E-07
  3.443713E+01   3.525201E-07
  3.542540E+01   2.097103E-07
  3.640865E+01   1.852797E-07
  3.739494E+01   1.656346E-07
  3.842231E+01   1.501933E-07
  3.943963E+01   1.065628E-07
  4.040461E+01   9.785610E-08
  4.140158E+01   9.193896E-08
  4.241545E+01   7.709877E-08
  4.344194E+01   3.850365E-07
  4.445512E+01   3.921422E-07
  4.543063E+01   2.883421E-07
  4.641442E+01   2.650462E-07
  4.740985E+01   2.809311E-07
  4.841659E+01   1.727061E-07
  4.941507E+01   1.437648E-07
  5.044505E+01   1.440011E-07
  5.146299E+01   1.117768E-07
  5.243955E+01   8.367547E-08
  5.342770E+01   8.182823E-08
  5.441129E+01   6.316312E-08
  5.543572E+01   5.284187E-08
  5.644685E+01   4.355520E-08
  5.743923E+01   3.806601E-08
  5.842750E+01   2.843380E-08
  5.941988E+01   2.765664E-08
  6.043083E+01   2.307248E-08
  6.144455E+01   2.089890E-08
  6.245348E+01   1.658876E-08
  6.344790E+01   1.604010E-08
