# k  E(k)
  1.165685E+00   3.227582E-02
  2.289014E+00   1.161110E-02
  3.279211E+00   5.251720E-03
  4.220481E+00   3.207551E-03
  5.313060E+00   2.979001E-03
  6.319715E+00   1.597084E-03
  7.323815E+00   1.527541E-03
  8.372961E+00   1.200093E-03
  9.374331E+00   9.068658E-04
  1.036583E+01   8.565360E-04
  1.133127E+01   6.338003E-04
  1.231775E+01   6.318251E-04
  1.338002E+01   5.769502E-04
  1.440681E+01   4.515068E-04
  1.538017E+01   4.163152E-04
  1.635360E+01   9.625849E-06
  1.735645E+01   3.294808E-17
  1.840444E+01   2.578266E-17
  1.941338E+01   2.482083E-17
  2.038168E+01   3.458119E-17
  2.142060E+01   2.382136E-17
  2.241571E+01   3.113765E-17
  2.338104E+01   4.253555E-17
  2.436040E+01   2.278785E-17
  2.538618E+01   3.802801E-17
  2.644280E+01   1.409003E-17
  2.743319E+01   1.534753E-17
  2.838762E+01   2.215312E-17
  2.938585E+01   3.553926E-17
  3.038908E+01   4.069822E-17
  3.141805E+01   1.341244E-16
  3.242466E+01   1.597010E-17
  3.342107E+01   3.717569E-17
  3.443713E+01   3.231682E-17
  3.542540E+01   2.413629E-17
  3.640865E+01   3.268993E-17
  3.739494E+01   2.703894E-17
  3.842231E+01   3.230849E-17
  3.943963E+01   7.933475E-17
  4.040461E+01   2.673521E-17
  4.140158E+01   2.224773E-17
  4.241545E+01   1.557894E-17
  4.344194E+01   2.128534E-17
  4.445512E+01   2.177457E-17
  4.543063E+01   3.051960E-17
  4.641442E+01   5.268194E-17
  4.740985E+01   1.870833E-16
  4.841659E+01   1.907618E-17
  4.941507E+01   9.751719E-17
  5.044505E+01   2.799705E-17
  5.146299E+01   3.308898E-17
  5.243955E+01   2.567557E-17
  5.342770E+01   3.089187E-17
  5.441129E+01   2.600309E-17
  5.543572E+01   3.501379E-17
  5.644685E+01   3.477595E-17
  5.743923E+01   3.220507E-17
  5.842750E+01   3.049351E-17
  5.941988E+01   3.517286E-17
  6.043083E+01   4.961656E-17
  6.144455E+01   5.725542E-17
  6.245348E+01   7.268873E-17
  6.344790E+01   2.152176E-16
