# k  E(k)
  1.165685E+00   2.987108E-02
  2.289014E+00   1.147005E-02
  3.279211E+00   4.667296E-03
  4.220481E+00   2.323379E-03
  5.313060E+00   2.167091E-03
  6.319715E+00   1.206337E-03
  7.323815E+00   8.820022E-04
  8.372961E+00   8.219206E-04
  9.374331E+00   2.836329E-04
  1.036583E+01   3.669017E-04
  1.133127E+01   1.581970E-04
  1.231775E+01   1.896307E-04
  1.338002E+01   9.918973E-05
  1.440681E+01   7.148735E-05
  1.538017E+01   6.410118E-05
  1.635360E+01   3.341800E-05
  1.735645E+01   2.878230E-05
  1.840444E+01   2.418830E-05
  1.941338E+01   1.304370E-05
  2.038168E+01   1.106973E-05
  2.142060E+01   8.157313E-06
  2.241571E+01   5.830634E-06
  2.338104E+01   4.602533E-06
  2.436040E+01   2.930187E-06
  2.538618E+01   2.551797E-06
  2.644280E+01   2.160152E-06
  2.743319E+01   1.327331E-06
  2.838762E+01   1.121524E-06
  2.938585E+01   9.015056E-07
  3.038908E+01   7.535411E-07
  3.141805E+01   6.437526E-07
  3.242466E+01   4.074506E-07
  3.342107E+01   3.596451E-07
  3.443713E+01   3.524628E-07
  3.542540E+01   2.095667E-07
  3.640865E+01   1.851938E-07
  3.739494E+01   1.656499E-07
  3.842231E+01   1.502536E-07
  3.943963E+01   1.064882E-07
  4.040461E+01   9.792132E-08
  4.140158E+01   9.198939E-08
  4.241545E+01   7.714119E-08
  4.344194E+01   3.849063E-07
  4.445512E+01   3.922061E-07
  4.543063E+01   2.882473E-07
  4.641442E+01   2.648430E-07
  4.740985E+01   2.811071E-07
  4.841659E+01   1.728022E-07
  4.941507E+01   1.437263E-07
  5.044505E+01   1.439915E-07
  5.146299E+01   1.118304E-07
  5.243955E+01   8.366015E-08
  5.342770E+01   8.186269E-08
  5.441129E+01   6.324309E-08
  5.543572E+01   5.281939E-08
  5.644685E+01   4.351950E-08
  5.743923E+01   3.806231E-08
  5.842750E+01   2.844273E-08
  5.941988E+01   2.765622E-08
  6.043083E+01   2.306858E-08
  6.144455E+01   2.090088E-08
  6.245348E+01   1.658327E-08
  6.344790E+01   1.603834E-08
