# k  E(k)
  1.165685E+00   1.252747E-02
  2.289014E+00   2.482531E-03
  3.279211E+00   3.379022E-04
  4.220481E+00   8.488794E-05
  5.313060E+00   2.993317E-05
  6.319715E+00   6.913234E-06
  7.323815E+00   2.107336E-06
  8.372961E+00   8.553030E-07
  9.374331E+00   2.691546E-07
  1.036583E+01   9.905078E-08
  1.133127E+01   5.333269E-08
  1.231775E+01   3.525057E-08
  1.338002E+01   2.347406E-08
  1.440681E+01   1.642681E-08
  1.538017E+01   1.117296E-08
  1.635360E+01   8.138593E-09
  1.735645E+01   6.507203E-09
  1.840444E+01   4.575192E-09
  1.941338E+01   2.908688E-09
  2.038168E+01   2.162994E-09
  2.142060E+01   1.556561E-09
  2.241571E+01   1.089928E-09
  2.338104E+01   8.535236E-10
  2.436040E+01   5.290230E-10
  2.538618E+01   4.258615E-10
  2.644280E+01   2.682853E-10
  2.743319E+01   1.551766E-10
  2.838762E+01   1.150906E-10
  2.938585E+01   8.877685E-11
  3.038908E+01   7.576348E-11
  3.141805E+01   6.749783E-11
  3.242466E+01   4.606622E-11
  3.342107E+01   4.111884E-11
  3.443713E+01   3.062778E-11
  3.542540E+01   1.623211E-11
  3.640865E+01   1.299404E-11
  3.739494E+01   1.207754E-11
  3.842231E+01   1.562818E-11
  3.943963E+01   1.359779E-11
  4.040461E+01   9.792753E-12
  4.140158E+01   8.799206E-12
  4.241545E+01   6.583553E-12
  4.344194E+01   3.767361E-12
  4.445512E+01   2.945008E-12
  4.543063E+01   3.204644E-12
  4.641442E+01   4.768128E-12
  4.740985E+01   4.049471E-12
  4.841659E+01   2.757559E-12
  4.941507E+01   2.215194E-12
  5.044505E+01   1.573443E-12
  5.146299E+01   9.061292E-13
  5.243955E+01   8.142398E-13
  5.342770E+01   9.232739E-13
  5.441129E+01   1.348504E-12
  5.543572E+01   1.028961E-12
  5.644685E+01   6.044465E-13
  5.743923E+01   4.219814E-13
  5.842750E+01   2.584756E-13
  5.941988E+01   2.049536E-13
  6.043083E+01   2.151051E-13
  6.144455E+01   2.351174E-13
  6.245348E+01   2.469000E-13
  6.344790E+01   1.348487E-13
