# k  E(k)
  1.165685E+00   1.351135E-04
  2.289014E+00   1.220477E-03
  3.279211E+00   1.979385E-03
  4.220481E+00   2.005711E-03
  5.313060E+00   2.647030E-03
  6.319715E+00   1.912945E-03
  7.323815E+00   2.588333E-03
  8.372961E+00   2.205485E-03
  9.374331E+00   2.374935E-03
  1.036583E+01   1.603858E-03
  1.133127E+01   1.056173E-03
  1.231775E+01   6.414970E-04
  1.338002E+01   7.762735E-04
  1.440681E+01   4.179697E-04
  1.538017E+01   3.656045E-04
  1.635360E+01   9.382766E-05
  1.735645E+01   4.305857E-05
  1.840444E+01   1.950113E-05
  1.941338E+01   1.299617E-05
  2.038168E+01   1.019814E-05
  2.142060E+01   5.705879E-06
  2.241571E+01   2.244066E-06
  2.338104E+01   1.840487E-06
  2.436040E+01   1.151298E-06
  2.538618E+01   5.666885E-07
  2.644280E+01   3.103807E-07
  2.743319E+01   1.968343E-07
  2.838762E+01   1.288452E-07
  2.938585E+01   7.439580E-08
  3.038908E+01   4.230802E-08
  3.141805E+01   2.935754E-08
  3.242466E+01   2.030846E-08
  3.342107E+01   1.124685E-08
  3.443713E+01   8.579400E-09
  3.542540E+01   4.210252E-09
  3.640865E+01   2.849706E-09
  3.739494E+01   1.757779E-09
  3.842231E+01   9.569076E-10
  3.943963E+01   8.913396E-10
  4.040461E+01   5.713444E-10
  4.140158E+01   3.122002E-10
  4.241545E+01   2.828344E-10
  4.344194E+01   2.838384E-09
  4.445512E+01   3.319617E-09
  4.543063E+01   1.871326E-09
  4.641442E+01   1.038434E-09
  4.740985E+01   1.181343E-09
  4.841659E+01   4.513908E-10
  4.941507E+01   3.477191E-10
  5.044505E+01   2.593205E-10
  5.146299E+01   1.229209E-10
  5.243955E+01   9.718711E-11
  5.342770E+01   7.359886E-11
  5.441129E+01   5.207668E-11
  5.543572E+01   3.506707E-11
  5.644685E+01   3.223659E-11
  5.743923E+01   1.962438E-11
  5.842750E+01   1.479646E-11
  5.941988E+01   9.530115E-12
  6.043083E+01   9.018716E-12
  6.144455E+01   5.200402E-12
  6.245348E+01   3.992699E-12
  6.344790E+01   3.492501E-12
