# k  E(k)
  1.165685E+00   1.954459E-03
  2.289014E+00   2.951178E-03
  3.279211E+00   2.750753E-03
  4.220481E+00   2.807694E-03
  5.313060E+00   4.146620E-03
  6.319715E+00   3.050868E-03
  7.323815E+00   4.110113E-03
  8.372961E+00   4.081146E-03
  9.374331E+00   3.948491E-03
  1.036583E+01   4.622899E-03
  1.133127E+01   4.089023E-03
  1.231775E+01   4.791934E-03
  1.338002E+01   5.113069E-03
  1.440681E+01   4.630598E-03
  1.538017E+01   4.893086E-03
  1.635360E+01   4.426435E-05
  1.735645E+01   6.219984E-16
  1.840444E+01   6.005973E-16
  1.941338E+01   6.827669E-16
  2.038168E+01   1.030462E-15
  2.142060E+01   1.104930E-15
  2.241571E+01   4.843323E-16
  2.338104E+01   8.624084E-16
  2.436040E+01   1.567112E-15
  2.538618E+01   4.994837E-16
  2.644280E+01   5.630766E-16
  2.743319E+01   7.628199E-16
  2.838762E+01   1.251520E-15
  2.938585E+01   2.195381E-15
  3.038908E+01   2.269213E-15
  3.141805E+01   1.089464E-14
  3.242466E+01   4.077684E-15
  3.342107E+01   7.748796E-15
  3.443713E+01   5.167634E-15
  3.542540E+01   3.505529E-15
  3.640865E+01   2.934842E-15
  3.739494E+01   2.434668E-15
  3.842231E+01   1.879095E-15
  3.943963E+01   2.597222E-15
  4.040461E+01   2.395739E-15
  4.140158E+01   3.930606E-15
  4.241545E+01   2.118792E-15
  4.344194E+01   2.699404E-15
  4.445512E+01   2.078355E-15
  4.543063E+01   4.342809E-15
  4.641442E+01   8.313163E-15
  4.740985E+01   2.783053E-14
  4.841659E+01   3.541842E-15
  4.941507E+01   2.000047E-14
  5.044505E+01   8.978702E-15
  5.146299E+01   5.916236E-15
  5.243955E+01   2.789111E-15
  5.342770E+01   6.515008E-15
  5.441129E+01   4.585337E-15
  5.543572E+01   5.854948E-15
  5.644685E+01   6.039759E-15
  5.743923E+01   5.791576E-15
  5.842750E+01   3.794404E-15
  5.941988E+01   1.057526E-14
  6.043083E+01   8.394021E-15
  6.144455E+01   4.857664E-15
  6.245348E+01   4.068021E-15
  6.344790E+01   3.265874E-14
