# k  E(k)
  1.165685E+00   1.942853E-03
  2.289014E+00   2.943916E-03
  3.279211E+00   2.578810E-03
  4.220481E+00   2.154228E-03
  5.313060E+00   2.672552E-03
  6.319715E+00   1.915571E-03
  7.323815E+00   2.585874E-03
  8.372961E+00   2.203438E-03
  9.374331E+00   2.375654E-03
  1.036583E+01   1.604444E-03
  1.133127E+01   1.055242E-03
  1.231775E+01   6.418515E-04
  1.338002E+01   7.769186E-04
  1.440681E+01   4.178027E-04
  1.538017E+01   3.655090E-04
  1.635360E+01   9.385038E-05
  1.735645E+01   4.305654E-05
  1.840444E+01   1.945775E-05
  1.941338E+01   1.298234E-05
  2.038168E+01   1.019788E-05
  2.142060E+01   5.700547E-06
  2.241571E+01   2.247549E-06
  2.338104E+01   1.840230E-06
  2.436040E+01   1.148876E-06
  2.538618E+01   5.660855E-07
  2.644280E+01   3.097482E-07
  2.743319E+01   1.976427E-07
  2.838762E+01   1.290530E-07
  2.938585E+01   7.465047E-08
  3.038908E+01   4.227370E-08
  3.141805E+01   2.935923E-08
  3.242466E+01   2.024791E-08
  3.342107E+01   1.118528E-08
  3.443713E+01   8.551709E-09
  3.542540E+01   4.201176E-09
  3.640865E+01   2.840533E-09
  3.739494E+01   1.757705E-09
  3.842231E+01   9.441035E-10
  3.943963E+01   8.506854E-10
  4.040461E+01   5.264381E-10
  4.140158E+01   2.958591E-10
  4.241545E+01   2.741862E-10
  4.344194E+01   2.825164E-09
  4.445512E+01   3.323959E-09
  4.543063E+01   1.865713E-09
  4.641442E+01   1.033644E-09
  4.740985E+01   1.173976E-09
  4.841659E+01   4.365115E-10
  4.941507E+01   3.403345E-10
  5.044505E+01   2.574373E-10
  5.146299E+01   1.219004E-10
  5.243955E+01   9.667526E-11
  5.342770E+01   7.363272E-11
  5.441129E+01   5.187920E-11
  5.543572E+01   3.352950E-11
  5.644685E+01   3.141502E-11
  5.743923E+01   1.962156E-11
  5.842750E+01   1.456005E-11
  5.941988E+01   9.418826E-12
  6.043083E+01   8.940150E-12
  6.144455E+01   5.079646E-12
  6.245348E+01   3.880833E-12
  6.344790E+01   3.343121E-12
