# k  E(k)
  1.165685E+00   1.101709E-03
  2.289014E+00   4.444177E-04
  3.279211E+00   4.716830E-05
  4.220481E+00   3.439575E-06
  5.313060E+00   2.187160E-07
  6.319715E+00   4.432519E-08
  7.323815E+00   2.788016E-08
  8.372961E+00   1.991532E-08
  9.374331E+00   1.460811E-08
  1.036583E+01   1.079174E-08
  1.133127E+01   7.759586E-09
  1.231775E+01   6.740686E-09
  1.338002E+01   5.467596E-09
  1.440681E+01   3.159425E-09
  1.538017E+01   2.575964E-09
  1.635360E+01   1.734126E-09
  1.735645E+01   1.397267E-09
  1.840444E+01   8.110375E-10
  1.941338E+01   5.242534E-10
  2.038168E+01   3.024380E-10
  2.142060E+01   2.449286E-10
  2.241571E+01   1.559008E-10
  2.338104E+01   1.715698E-10
  2.436040E+01   2.132572E-10
  2.538618E+01   1.145869E-10
  2.644280E+01   4.962787E-11
  2.743319E+01   2.064553E-11
  2.838762E+01   1.293836E-11
  2.938585E+01   1.207922E-11
  3.038908E+01   2.708808E-11
  3.141805E+01   5.987860E-11
  3.242466E+01   9.314212E-11
  3.342107E+01   4.600489E-11
  3.443713E+01   1.488861E-11
  3.542540E+01   4.226662E-12
  3.640865E+01   4.079659E-12
  3.739494E+01   3.806018E-12
  3.842231E+01   1.297005E-11
  3.943963E+01   3.101978E-11
  4.040461E+01   4.665374E-11
  4.140158E+01   2.113982E-11
  4.241545E+01   6.139716E-12
  4.344194E+01   1.606683E-12
  4.445512E+01   1.644698E-12
  4.543063E+01   1.558160E-12
  4.641442E+01   5.212858E-12
  4.740985E+01   1.145138E-11
  4.841659E+01   1.491701E-11
  4.941507E+01   5.629359E-12
  5.044505E+01   1.412841E-12
  5.146299E+01   3.755939E-13
  5.243955E+01   3.496544E-13
  5.342770E+01   3.562170E-13
  5.441129E+01   8.828630E-13
  5.543572E+01   1.267629E-12
  5.644685E+01   9.343877E-13
  5.743923E+01   1.845307E-13
  5.842750E+01   6.868267E-14
  5.941988E+01   4.366947E-14
  6.043083E+01   6.495141E-14
  6.144455E+01   6.283876E-14
  6.245348E+01   7.168118E-14
  6.344790E+01   1.568645E-13
